company,title,location,job_url,site,source,age_posted,age_days,requires_sponsorship,requires_citizenship,is_closed,is_faang,requires_advanced_degree,job_type,description,date_posted,collected_at
SharkNinja,Software Development Testing Engineer I,"Needham, MA",https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4608642006?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,15d,15.0,True,False,False,False,False,fulltime,New graduate position at SharkNinja. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007117
Analog Devices,"Associate Engineer, Embedded Software","Edinburgh, SC, UK",https://analogdevices.wd1.myworkdayjobs.com/en-US/External/job/United-Kingdom-Edinburgh-SC-Freer/Associate-Engineer--Embedded-Software_R257164?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,15d,15.0,True,False,False,False,False,fulltime,New graduate position at Analog Devices. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007136
Booz Allen,Backend Developer,"Alexandria, VA",https://bah.wd1.myworkdayjobs.com/bah_jobs/job/Alexandria-VA/Backend-Developer_R0228366?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,15d,15.0,True,True,False,False,False,fulltime,New graduate position at Booz Allen. US Citizenship required. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007156
Vermont Information Processing,Software Engineer 1,"Holland, MI",https://job-boards.greenhouse.io/vipvermontinformationprocessing2/jobs/4953972007?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,15d,15.0,True,False,False,False,False,fulltime,New graduate position at Vermont Information Processing. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007177
Shield AI,Software Engineer I - Hardware Test - R3999,"Dallas, TX",https://jobs.lever.co/shieldai/8ed6bd48-2bf0-44a2-812d-7d8a2ab6b9f0/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,15d,15.0,True,False,False,False,False,fulltime,New graduate position at Shield AI. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007197
RELX,Software Engineer I,"Southampton, UK",https://relx.wd3.myworkdayjobs.com/en-US/relx/job/UK---Grosvenor-House-Southampton/Software-Engineer-I_R100158-2?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,17d,17.0,True,False,False,False,False,fulltime,New graduate position at RELX. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007218
Intuit,Software Engineer 1,"Mountain View, CA",https://jobs.intuit.com/job/mountain-view/software-engineer-1/27595/87369448720?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,20d,20.0,True,False,False,False,False,fulltime,New graduate position at Intuit. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007237
Delta Solutions & Strategies,Junior Software Engineer,"Colorado Springs, CO",https://jobs.lever.co/deltasands/4ae1b9e2-ebbd-416e-810a-58f296666125/?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,20d,20.0,True,False,False,False,False,fulltime,New graduate position at Delta Solutions & Strategies. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007255
Groundswell,Technical Consultant,"McLean, VA",https://groundswell.wd12.myworkdayjobs.com/groundswell/job/McLean-VA/Technical-Consultant--Campus-Recruiting-Entry-Level-_JR100868?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,20d,20.0,True,False,False,False,False,fulltime,New graduate position at Groundswell. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007274
EVgo,Software Development Engineer I,United States,https://jobs.jobvite.com/evgo/job/ogeByfwn?nl=1&nl=1&fr=false&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,20d,20.0,True,False,False,False,False,fulltime,New graduate position at EVgo. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007294
Truist Bank,Software Engineer 1 SAS Programmer,"Charlotte, NCAtlanta, GA",https://truist.wd1.myworkdayjobs.com/en-US/Careers/job/Charlotte-NC/Software-Engineer-I_R0107411?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,21d,21.0,True,False,False,False,False,fulltime,New graduate position at Truist Bank. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007315
🔥 Figma,Junior Software Engineer - Software Engineer,SFNYC,https://boards.greenhouse.io/figma/jobs/5616603004?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,22d,22.0,True,False,False,False,False,fulltime,New graduate position at 🔥 Figma. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007336
D3,Frontend Engineer – New Grad,LA,https://d3.com/careers?gh_jid=4915213008&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,22d,22.0,True,False,False,False,False,fulltime,New graduate position at D3. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007356
Glide,Full Stack Engineer – Early Career,"New York, NYHybrid",https://jobs.ashbyhq.com/glide/5ece3064-6884-43c2-923c-066d6187b25d?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,22d,22.0,True,False,False,False,False,fulltime,New graduate position at Glide. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007375
Glide,"Junior Full Stack Engineer - Frontend and Backend - TypeScript, React, Node.js, Next.js",NYC,https://jobs.ashbyhq.com/glide/5ece3064-6884-43c2-923c-066d6187b25d/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,23d,23.0,True,False,False,False,False,fulltime,New graduate position at Glide. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007395
mthree,Junior Software Developer,"Glasgow, UK",https://job-boards.greenhouse.io/mthreerecruitingportal/jobs/4595457006?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,23d,23.0,True,False,False,False,False,fulltime,New graduate position at mthree. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007415
Esri,Java Software Engineer I - Arcgis Enterprise,"West Redlands, Redlands, CA",https://www.esri.com/careers/4660952007?gh_jid=4660952007&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,23d,23.0,True,False,False,False,False,fulltime,New graduate position at Esri. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007435
🔥 IBM,Software Developer,"Lowell, MASan Jose, CAAustin, TX",https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=58552&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,23d,23.0,False,False,False,False,False,fulltime,New graduate position at 🔥 IBM. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.007455
Fireworks AI,Software Engineer – Early Career - Cloud Infrastructure,"San Carlos, CANYC",https://job-boards.greenhouse.io/fireworksai/jobs/4036755009?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,24d,24.0,True,False,False,False,False,fulltime,New graduate position at Fireworks AI. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007476
Wyetech,Software Engineer 0,"Annapolis Junction, MD",https://jobs.lever.co/wyetechllc/68850aff-cd40-44e9-9af0-8124ac21e930/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,24d,24.0,True,False,False,False,False,fulltime,New graduate position at Wyetech. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007495
Appian,Product Engineer,"McLean, VA",https://job-boards.greenhouse.io/appian/jobs/7287884?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,24d,24.0,True,False,False,False,False,fulltime,New graduate position at Appian. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007513
Insulet Corporation,Associate Software QA Engineer,"Acton, MA",https://insulet.wd5.myworkdayjobs.com/en-US/insuletcareers/job/Acton-Massachusetts/Associate-Software-QA-Engineer--Hybrid---Acton--MA-_REQ-2025-13185?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,25d,25.0,True,False,False,False,False,fulltime,New graduate position at Insulet Corporation. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007532
Hewlett Packard (HP),Software Development,"5 locationsSpring, TXPalo Alto, CABoise, IDCorvallis, ORVancouver, WA",https://hp.wd5.myworkdayjobs.com/exteu-ac-careersite/job/Spring-Texas-United-States-of-America/Software-Development-Graduate_3152963?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,25d,25.0,False,False,False,False,False,fulltime,New graduate position at Hewlett Packard (HP). Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.007554
Vail Systems,"Software Engineer, Test & Infrastructure I","Greater Chicago Area, IL",https://jobs.lever.co/vailsys/ad5c0c59-c301-4ac5-983b-bbd62b736c94/?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,28d,28.0,True,False,False,False,False,fulltime,New graduate position at Vail Systems. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007572
Truveta,Software Engineer – Entry Level - Front End,"Seattle, WA",https://job-boards.greenhouse.io/truveta/jobs/5674617004?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,28d,28.0,True,False,False,False,False,fulltime,New graduate position at Truveta. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007592
Forage,Junior Software Engineer,SF,https://job-boards.greenhouse.io/joinforage/jobs/4892105007?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,28d,28.0,True,False,False,False,False,fulltime,New graduate position at Forage. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007611
Valon,Software Engineer – New Grad,SFNYC,https://jobs.ashbyhq.com/Valon/5348244b-763b-4ce7-8828-85575eba2a4c/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,28d,28.0,True,False,False,False,False,fulltime,New graduate position at Valon. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007632
Vultr,Junior Frontend Engineer,Remote in USA,https://job-boards.greenhouse.io/vultr/jobs/4602862006?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,29d,29.0,False,False,False,False,False,fulltime,New graduate position at Vultr. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.007651
Sunwater Capital,Junior Software Engineer,"North Bethesda, MD",https://jobs.lever.co/sunwatercapital/06f08a38-95a0-4dac-9997-4c46b3ae8fed/?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,29d,29.0,False,False,False,False,False,fulltime,New graduate position at Sunwater Capital. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.007670
Klaviyo,Software Engineer I,"Boston, MA",https://job-boards.greenhouse.io/klaviyocampus/jobs/7489745003?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Klaviyo. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007690
General Dynamics Mission Systems,Software Engineer – Entry Level - Secret Clearance Required,"Dedham, MA",https://careers-gdms.icims.com/jobs/68432/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at General Dynamics Mission Systems. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007709
Electronic Arts,Software Engineer I,"Vancouver, BC, Canada",https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer-I/209811?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Electronic Arts. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007729
🔥 DoorDash,Software Engineer 1 - Multiple Teams,"Toronto, ON, Canada",https://job-boards.greenhouse.io/doordashcanada/jobs/7264351?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 DoorDash. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007750
Reach Financial,Junior Software Engineer,Remote in USARemote in Canada,https://job-boards.greenhouse.io/reach/jobs/8191593002?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Reach Financial. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007770
🔥 DoorDash,Software Engineer 1 - Multiple Teams,"5 locationsSeattle, WASFLANYCSunnyvale, CA",https://job-boards.greenhouse.io/doordashusa/jobs/7263610?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 DoorDash. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007832
Amentum,C++ Junior Software Developer,"Dahlgren, VA",https://pae.wd1.myworkdayjobs.com/en-US/amentum_careers/job/US-VA-Dahlgren/C---Junior-Software-Developer_R0147273?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,True,False,False,False,fulltime,New graduate position at Amentum. US Citizenship required. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007863
Wind River,Embedded Software Engineer for Professional Services,"San Diego, CA",https://jobs.jobvite.com/windriver/job/o97iyfwQ?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,False,False,False,False,False,fulltime,New graduate position at Wind River. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.007900
Flight Schedule Pro,Full Stack Engineer I,"Overland Park, KS",https://www.flightschedulepro.com/careers?gh_jid=4935777008&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Flight Schedule Pro. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007921
Fanatics,Software Engineer I,Remote in USA,https://fa-exki-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/25033?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Fanatics. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007943
Replit,Software Engineer - New Grad - Summer 2026,"Foster City, CA",https://jobs.ashbyhq.com/replit/b5e81eae-06f9-4798-8988-2d06ca936dbc?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Replit. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007962
Domino Data Lab,Software Engineer – New Grad - Campus Recruiting 2026,SF,https://app.careerpuck.com/job-board/domino-data-lab/job/7275094?gh_jid=7275094&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Domino Data Lab. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.007981
Replit,Software Engineer – New Grad - Summer 2026,"San Mateo, CA",https://jobs.ashbyhq.com/replit/b5e81eae-06f9-4798-8988-2d06ca936dbc/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Replit. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008002
ZipRecruiter,Software Engineer – New Grad - Multiple Teams,"Santa Monica, CA",https://job-boards.greenhouse.io/ziprecruiter/jobs/7203130?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at ZipRecruiter. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008027
Magnite,Backend Engineer – Entry Level,"Belfast, UK",https://osv-rubicon.wd5.myworkdayjobs.com/en-US/MagniteCareers/job/United-Kingdom---Belfast/Backend-Engineer--Entry-Level-_R-01124?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Magnite. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008050
American Express,Software Engineer 1 - Technology,"Plantation, FL",https://aexp.eightfold.ai/careers/job/38270703?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,False,False,False,False,False,fulltime,New graduate position at American Express. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.008072
The Travelers Companies,Software Engineer 1 - .Net - Node.js,"Hartford, CTSt Paul, MN",https://travelers.wd5.myworkdayjobs.com/External/job/CT---Hartford/Software-Engineer-I--NET--Nodejs--React-_R-47074?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at The Travelers Companies. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008108
Momentum Engineering,Software Engineer 0,"Annapolis Junction, MD",https://ats.rippling.com/momentumcareers/jobs/8c2a6494-73a1-445c-84aa-4dc824d8895e?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,True,False,False,False,fulltime,New graduate position at Momentum Engineering. US Citizenship required. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008128
TRM Labs,University Grad - Product Engineer - 2026,SF,https://job-boards.greenhouse.io/trmlabs/jobs/5662998004?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at TRM Labs. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008148
Sierra,"Software Engineer, Agent","San Francisco, CANew York, NY",https://jobs.ashbyhq.com/Sierra/6a75b530-b7bb-4439-bb67-37b4f2b75b96?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Sierra. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008167
Sierra,Software Engineer – New Grad - Agent,NYC,https://jobs.ashbyhq.com/Sierra/ce2ae656-714c-4a6c-a020-fe418f868075/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Sierra. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008188
HoneyWell,Software Engineer I,"Clearwater, FL",https://ibqbjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Honeywell/jobs/job/119931?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,True,False,False,False,fulltime,New graduate position at HoneyWell. US Citizenship required. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008208
Sierra,Software Engineer – New Grad - Agent,"London, UK",https://jobs.ashbyhq.com/Sierra/0ff928f7-cca0-4d2b-ae64-c07277ff5252/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Sierra. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008229
Electronic Arts,Software Engineer 1 Gameplay Services,"Vancouver, BC, Canada",https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer-I-Gameplay-Services/210946?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Electronic Arts. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008249
🔥 Adobe,University Graduate Software Engineer - Software Engineering,"SFSan Jose, CA",https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/XMLNAME-2026-University-Graduate---Software-Engineer_R158638?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 Adobe. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008269
Wolverine Trading,C++ Software Engineer,"Chicago, IL",https://jobs.lever.co/wolve/b42f4d54-02e1-4549-a6a5-7cd5673c8216?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Wolverine Trading. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008288
🔥 Notion,"Software Engineer, Fullstack","San Francisco, CANew York, NY",https://jobs.ashbyhq.com/notion/f7399542-9122-481a-bf64-43bf8093748b?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at 🔥 Notion. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008307
Meshy,Software Engineer – New Grad,Remote in USA,https://job-boards.greenhouse.io/meshy/jobs/4932258008?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Meshy. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008331
Ciena,Routing/IP Software Engineer – New Grad,"Ottawa, ON, Canada",https://ciena.wd5.myworkdayjobs.com/Careers/job/Ottawa/Routing-IP-Software-Engineer---New-Grad_R029033?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Ciena. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008352
IXL Learning,Software Engineer – New Grad - Multiple Teams,"San Mateo, CA",https://www.ixl.com/company/jobs?gh_jid=8182830002&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at IXL Learning. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008376
🔥 Figma,Software Engineer,"San Francisco, CANew York, NY",https://job-boards.greenhouse.io/figma/jobs/5616603004?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,False,False,False,False,False,fulltime,New graduate position at 🔥 Figma. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.008396
SIFT,Software Engineer – New College Graduate,"El Segundo, CA",https://jobs.ashbyhq.com/siftstack/da9e9490-4156-4390-b9ed-54e215c894b6/application?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at SIFT. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008418
NorthMark Strategies,Graduate Engineering Program,"Dallas, TX",https://northmark.wd108.myworkdayjobs.com/en-US/NMS/job/Graduate-Program_R12714?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,False,False,False,False,False,fulltime,New graduate position at NorthMark Strategies. Visa sponsorship NOT available. ,2025-11-07,2025-11-07T10:09:52.008436
Sift,Software Engineer,"El Segundo, CA",https://jobs.ashbyhq.com/siftstack/da9e9490-4156-4390-b9ed-54e215c894b6?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,True,False,False,False,fulltime,New graduate position at Sift. US Citizenship required. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008455
Muon,Software Engineer,"San Jose, CA",https://job-boards.greenhouse.io/muonspace/jobs/4911755007?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,True,False,False,False,fulltime,New graduate position at Muon. US Citizenship required. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008474
Tencent,Cloud PaaS Associate Site Reliability Engineer,"Palo Alto, CA",https://tencent.wd1.myworkdayjobs.com/en-US/Tencent_Careers/job/US-California-Palo-Alto/Tencent-Cloud-PaaS-Associate-Site-Reliability-Engineer_R106050-1?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Tencent. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008493
Applied Intuition,Software Engineer – New Grad,"Sunnyvale, CA",https://boards.greenhouse.io/appliedintuition/jobs/4592025005?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Applied Intuition. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008514
WeRide,New Grads 2026 - General Software Engineer,"San Jose, CA",https://jobs.lever.co/weride/94562b95-f574-4a60-bfbf-0cafb5c8ea3d/apply?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at WeRide. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008537
Alumni Ventures,Software Engineer – Early Career,"Andover, MA",https://job-boards.greenhouse.io/alumniventures/jobs/4027838009?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Alumni Ventures. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008558
Macy's,Macy's Tech Early Careers - Software Engineer,"Johns Creek, GA",https://ebwh.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/jobs/job/80534?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Macy's. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008585
Anima,Software Engineer,Remote in USA,https://jobs.ashbyhq.com/Anima/a6b86f92-0679-423b-b575-a23f8677dfd1?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Anima. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008612
Konrad Group,Software Developer Entry Level,"Toronto, ON, Canada",https://boards.greenhouse.io/embed/job_app?token=7326972003&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Konrad Group. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008713
Expedia Group,Software Development Engineer I,"London, UK",https://expedia.wd108.myworkdayjobs.com/search/job/UK---London/Software-Development-Engineer-I_R-97728-1?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Expedia Group. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008743
Jane Street,Cybersecurity Analyst,"New York, NY",https://www.janestreet.com/join-jane-street/position/8053215002/?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Jane Street. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008763
LPL Financial Holdings,New Grad 2026 - Technology - Software Development,"Austin, TXFort Mill, SCSan Diego, CA",https://lplfinancial.wd1.myworkdayjobs.com/en-US/External/job/San-Diego-CA/New-Grad-2026---Technology--Software-Development_R-046207-1?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at LPL Financial Holdings. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008785
Dayton Freight Lines,Entry Level Software Developer,"Dayton, OH",https://careers-daytonfreight.icims.com/jobs/16714/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Dayton Freight Lines. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008804
Amentum,Entry Level Software Engineer,"Fredericksburg, VADahlgren, VA",https://pae.wd1.myworkdayjobs.com/en-US/amentum_careers/job/US-VA-Dahlgren/Entry-Level-Software-Engineer_R0145734?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at Amentum. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008825
The Travelers Companies,Software Engineer I - Aws,"Hartford, CT",https://travelers.wd5.myworkdayjobs.com/External/job/CT---Hartford/Software-Engineer-I---AWS_R-46180?utm_source=Simplify&ref=Simplify,github,SimplifyJobs-GitHub,1mo,,True,False,False,False,False,fulltime,New graduate position at The Travelers Companies. Visa sponsorship may be available. ,2025-11-07,2025-11-07T10:09:52.008861
